WORD,NUMBER OF HITS,NUMBER OF ANSWERS
which german,0,5
german cities,0,5
cities have,0,5
have more,0,5
more than,0,5
than 250000,0,5
250000 inhabitants,0,5
,,
,,
who was,0,2
was the,0,2
the successor,0,2
successor of,0,2
of john,0,2
john f.,0,2
f. kennedy,0,2
,,
,,
who is,0,2
is the,0,2
the mayor,0,2
mayor of,0,2
of berlin,1,2
,,
,,
how many,0,2
many students,0,2
students does,0,2
does the,0,2
the free,0,2
free university,0,2
university in,0,2
in amsterdam,0,2
amsterdam have,0,2
,,
,,
what is,0,2
is the,0,2
the second,0,2
second highest,0,2
highest mountain,0,2
mountain on,0,2
on earth,0,2
,,
,,
give me,0,7
me all,0,7
all professional,0,7
professional skateboarders,0,7
skateboarders from,0,7
from sweden,0,7
,,
,,
when was,0,2
was alberta,1,2
alberta admitted,1,2
admitted as,0,2
as province,0,2
,,
,,
to which,0,2
which countries,0,2
countries does,0,2
does the,0,2
the himalayan,0,2
himalayan mountain,0,2
mountain system,0,2
system extend,0,2
,,
,,
give me,0,4
me a,0,4
a list,0,4
list of,0,4
of all,0,4
all trumpet,1,4
trumpet players,1,4
players that,0,4
that were,0,4
were bandleaders,0,4
,,
,,
what is,0,2
is the,0,2
the total,0,2
total amount,0,2
amount of,0,2
of men,0,2
men and,0,2
and women,0,2
women serving,0,2
serving in,0,2
in the,0,2
the fdny,0,2
,,
,,
who is,0,2
is the,0,2
the formula,0,2
formula 1,0,2
1 race,0,2
race driver,0,2
driver with,0,2
with the,0,2
the most,0,2
most races,0,2
,,
,,
give me,0,2
me all,0,2
all world,0,2
world heritage,0,2
heritage sites,0,2
sites designated,0,2
designated within,0,2
within the,0,2
the past,0,2
past five,0,2
five years,0,2
,,
,,
who is,0,4
is the,0,4
the youngest,0,4
youngest player,0,4
player in,0,4
in the,0,4
the premier,1,4
premier league,2,4
,,
,,
give me,0,2
me all,0,2
all members,0,2
members of,0,2
of prodigy,1,2
,,
,,
what is,0,2
is the,0,2
the longest,0,2
longest river,0,2
,,
,,
does the,0,4
the new,0,4
new battlestar,0,4
battlestar galactica,0,4
galactica series,0,4
series have,0,4
have more,0,4
more episodes,0,4
episodes than,0,4
than the,0,4
the old,0,4
old one,0,4
,,
,,
give me,0,9
me all,0,9
all cars,0,9
cars that,0,9
that are,0,9
are produced,0,9
produced in,0,9
in germany,12,9
,,
,,
give me,0,4
me all,0,4
all people,0,4
people that,0,4
that were,0,4
were born,0,4
born in,0,4
in vienna,1,4
vienna and,1,4
and died,0,4
died in,0,4
in berlin,1,4
,,
,,
how tall,0,2
tall is,0,2
is michael,0,2
michael jordan,2,2
,,
,,
what is,0,2
is the,0,2
the capital,0,2
capital of,0,2
of canada,2,2
,,
,,
who is,0,3
is the,0,3
the governor,0,3
governor of,0,3
of texas,1,3
,,
,,
do harry,0,4
harry and,0,4
and william,,0,4
william, princes,0,4
princes of,0,4
of wales,,0,4
wales, have,0,4
have the,0,4
the same,0,4
same mother,0,4
,,
,,
who was,0,2
was the,0,2
the father,0,2
father of,0,2
of queen,0,2
queen elizabeth,0,2
elizabeth ii,3,2
,,
,,
which u.s.,0,2
u.s. state,0,2
state has,0,2
has been,0,2
been admitted,0,2
admitted latest,0,2
,,
,,
how many,0,2
many official,0,2
official languages,0,2
languages are,0,2
are spoken,0,2
spoken on,0,2
on the,0,2
the seychelles,1,2
,,
,,
sean parnell,1,3
parnell is,0,3
is the,0,3
the governor,0,3
governor of,0,3
of which,0,3
which u.s.,0,3
u.s. state,0,3
,,
,,
give me,0,3
me all,0,3
all movies,0,3
movies directed,0,3
directed by,0,3
by francis,0,3
francis ford,1,3
ford coppola,1,3
,,
,,
give me,0,6
me all,0,6
all actors,0,6
actors starring,0,6
starring in,0,6
in movies,0,6
movies directed,0,6
directed by,0,6
by and,0,6
and starring,0,6
starring william,0,6
william shatner,2,6
,,
,,
what is,0,2
is the,0,2
the birth,0,2
birth name,0,2
name of,0,2
of angela,0,2
angela merkel,1,2
,,
,,
give me,0,3
me all,0,3
all current,0,3
current methodist,0,3
methodist national,0,3
national leaders,0,3
,,
,,
how often,0,2
often did,0,2
did nicole,0,2
nicole kidman,2,2
kidman marry,1,2
,,
,,
give me,0,7
me all,0,7
all australian,0,7
australian nonprofit,2,7
nonprofit organizations,2,7
,,
,,
in which,0,2
which military,0,2
military conflicts,0,2
conflicts did,0,2
did lawrence,0,2
lawrence of,0,2
of arabia,0,2
arabia participate,0,2
,,
,,
who developed,0,2
developed skype,2,2
,,
,,
how many,0,2
many inhabitants,0,2
inhabitants does,0,2
does maribor,1,2
maribor have,1,2
,,
,,
give me,0,7
me all,0,7
all companies,0,7
companies in,0,7
in munich,3,7
,,
,,
list all,0,2
all boardgames,0,2
boardgames by,0,2
by gmt,1,2
,,
,,
who founded,0,2
founded intel,1,2
,,
,,
who is,0,2
is the,0,2
the husband,0,2
husband of,0,2
of amanda,0,2
amanda palmer,1,2
,,
,,
give me,0,2
me all,0,2
all breeds,0,2
breeds of,0,2
of the,0,2
the german,0,2
german shepherd,1,2
shepherd dog,0,2
,,
,,
which cities,0,2
cities does,0,2
does the,0,2
the weser,1,2
weser flow,1,2
flow through,0,2
,,
,,
which countries,0,2
countries are,0,2
are connected,0,2
connected by,0,2
by the,0,2
the rhine,1,2
,,
,,
which professional,0,4
professional surfers,0,4
surfers were,0,4
were born,0,4
born on,0,4
on the,0,4
the philippines,2,4
,,
,,
in which,0,4
which uk,0,4
uk city,0,4
city are,0,4
are the,0,4
the headquarters,0,4
headquarters of,0,4
of the,0,4
the mi6,0,4
,,
,,
which other,0,5
other weapons,0,5
weapons did,0,5
did the,0,5
the designer,0,5
designer of,0,5
of the,0,5
the uzi,4,5
uzi develop,4,5
,,
,,
was the,0,4
the cuban,0,4
cuban missile,3,4
missile crisis,2,4
crisis earlier,0,4
earlier than,0,4
than the,0,4
the bay,0,4
bay of,0,4
of pigs,0,4
pigs invasion,4,4
,,
,,
give me,0,3
me all,0,3
all frisian,0,3
frisian islands,0,3
islands that,0,3
that belong,0,3
belong to,0,3
to the,0,3
the netherlands,2,3
,,
,,
what is,0,2
is the,0,2
the ruling,0,2
ruling party,0,2
party in,0,2
in lisbon,1,2
,,
,,
what are,0,2
are the,0,2
the nicknames,0,2
nicknames of,0,2
of san,0,2
san francisco,2,2
,,
,,
which greek,0,3
greek goddesses,0,3
goddesses dwelt,0,3
dwelt on,0,3
on mount,0,3
mount olympus,1,3
,,
,,
when were,0,2
were the,0,2
the hells,1,2
hells angels,2,2
angels founded,0,2
,,
,,
give me,0,2
me the,0,2
the apollo,0,2
apollo 14,1,2
14 astronauts,0,2
,,
,,
what is,0,2
is the,0,2
the time,0,2
time zone,0,2
zone of,0,2
of salt,0,2
salt lake,0,2
lake city,0,2
,,
,,
which u.s.,0,5
u.s. states,0,5
states are,0,5
are in,0,5
in the,0,5
the same,0,5
same timezone,0,5
timezone as,0,5
as utah,4,5
,,
,,
give me,0,4
me a,0,4
a list,0,4
list of,0,4
of all,0,4
all lakes,0,4
lakes in,0,4
in denmark,3,4
,,
,,
how many,0,1
many space,0,1
space missions,0,1
missions have,0,1
have there,0,1
there been,0,1
,,
,,
did socrates,3,3
socrates influence,3,3
influence aristotle,1,3
,,
,,
give me,0,5
me all,0,5
all argentine,0,5
argentine films,0,5
,,
,,
give me,0,3
me all,0,3
all launch,0,3
launch pads,0,3
pads operated,0,3
operated by,0,3
by nasa,2,3
,,
,,
which instruments,0,2
instruments did,0,2
did john,0,2
john lennon,2,2
lennon play,1,2
,,
,,
which ships,0,2
ships were,0,2
were called,0,2
called after,0,2
after benjamin,0,2
benjamin franklin,2,2
,,
,,
who are,0,3
are the,0,3
the parents,0,3
parents of,0,3
of the,0,3
the wife,0,3
wife of,0,3
of juan,0,3
juan carlos,0,3
carlos i,1,3
,,
,,
how many,0,2
many employees,0,2
employees does,0,2
does google,1,2
google have,2,2
,,
,,
did tesla,0,3
tesla win,0,3
win a,0,3
a nobel,0,3
nobel prize,0,3
prize in,0,3
in physics,0,3
,,
,,
is michelle,0,3
michelle obama,2,3
obama the,2,3
the wife,0,3
wife of,0,3
of barack,2,3
barack obama,4,3
,,
,,
when was,0,2
was the,0,2
the statue,1,2
statue of,1,2
of liberty,0,2
liberty built,0,2
,,
,,
in which,0,4
which u.s.,0,4
u.s. state,0,4
state is,0,4
is area,0,4
area 51,1,4
51 located,0,4
,,
,,
how many,0,2
many children,0,2
children did,0,2
did benjamin,0,2
benjamin franklin,2,2
franklin have,0,2
,,
,,
when did,0,2
did michael,0,2
michael jackson,2,2
jackson die,0,2
,,
,,
which daughters,0,3
daughters of,0,3
of british,0,3
british earls,0,3
earls died,0,3
died in,0,3
in the,0,3
the same,0,3
same place,0,3
place they,0,3
they were,0,3
were born,0,3
born in,0,3
,,
,,
list the,0,2
the children,0,2
children of,0,2
of margaret,0,2
margaret thatcher,2,2
,,
,,
who was,0,2
was called,0,2
called scarface,1,2
,,
,,
was margaret,0,3
margaret thatcher,2,3
thatcher a,0,3
a chemist,1,3
,,
,,
was dutch,0,2
dutch schultz,1,2
schultz a,0,2
a jew,0,2
,,
,,
give me,0,4
me all,0,4
all books,0,4
books by,0,4
by william,0,4
william goldman,1,4
goldman with,0,4
with more,0,4
more than,0,4
than 300,0,4
300 pages,0,4
,,
,,
which books,0,5
books by,0,5
by kerouac,2,5
kerouac were,2,5
were published,0,5
published by,0,5
by viking,0,5
viking press,1,5
,,
,,
give me,0,1
me a,0,1
a list,0,1
list of,0,1
of all,0,1
all american,0,1
american inventions,0,1
,,
,,
how high,0,2
high is,0,2
is the,0,2
the mount,0,2
mount everest,2,2
,,
,,
who created,0,2
created the,0,2
the comic,0,2
comic captain,0,2
captain america,2,2
,,
,,
how many,0,3
many people,0,3
people live,0,3
live in,0,3
in the,0,3
the capital,0,3
capital of,0,3
of australia,3,3
,,
,,
what is,0,2
is the,0,2
the largest,0,2
largest city,0,2
city in,0,2
in australia,3,2
,,
,,
who composed,0,2
composed the,0,2
the music,0,2
music for,0,2
for harold,0,2
harold and,0,2
and maude,0,2
,,
,,
which films,0,4
films starring,0,4
starring clint,0,4
clint eastwood,4,4
eastwood did,2,4
did he,0,4
he direct,0,4
direct himself,0,4
,,
,,
in which,0,3
which city,0,3
city was,0,3
was the,0,3
the former,0,3
former dutch,0,3
dutch queen,0,3
queen juliana,0,3
juliana buried,0,3
,,
,,
where is,0,2
is the,0,2
the residence,0,2
residence of,0,2
of the,0,2
the prime,0,2
prime minister,0,2
minister of,0,2
of spain,0,2
,,
,,
which u.s.,0,2
u.s. state,0,2
state has,0,2
has the,0,2
the abbreviation,0,2
abbreviation mn,0,2
,,
,,
show me,0,4
me all,0,4
all songs,0,4
songs from,0,4
from bruce,0,4
bruce springsteen,2,4
springsteen released,1,4
released between,0,4
between 1980,0,4
1980 and,0,4
and 1990,0,4
,,
,,
which movies,0,7
movies did,0,7
did sam,0,7
sam raimi,1,7
raimi direct,1,7
direct after,0,7
after army,0,7
army of,0,7
of darkness,0,7
,,
,,
what is,0,3
is the,0,3
the founding,0,3
founding year,0,3
year of,0,3
of the,0,3
the brewery,0,3
brewery that,0,3
that produces,0,3
produces pilsner,1,3
pilsner urquell,1,3
,,
,,
who wrote,0,3
wrote the,0,3
the lyrics,0,3
lyrics for,0,3
for the,0,3
the polish,0,3
polish national,0,3
national anthem,0,3
,,
,,
give me,0,3
me all,0,3
all b-sides,0,3
b-sides of,0,3
of the,0,3
the ramones,1,3
,,
,,
who painted,0,2
painted the,0,2
the storm,0,2
storm on,0,2
on the,0,2
the sea,0,2
sea of,0,2
of galilee,0,2
,,
,,
which country,0,3
country does,0,3
does the,0,3
the creator,0,3
creator of,0,3
of miffy,1,3
miffy come,1,3
come from,0,3
,,
,,
for which,0,5
which label,0,5
label did,0,5
did elvis,0,5
elvis record,0,5
record his,0,5
his first,0,5
first album,0,5
,,
,,
who produces,0,2
produces orangina,1,2
,,
,,
